time,data
24-07-23T06:54:36,67.78
24-07-23T06:55:30,67.91
24-07-23T06:56:51,67.98
24-07-23T06:57:44,68.0
24-07-23T06:58:38,68.13
24-07-23T06:59:32,68.29
24-07-23T07:00:53,68.51
24-07-23T07:01:47,68.7
24-07-23T07:02:41,68.65
24-07-23T07:03:35,68.58
24-07-23T07:04:28,68.6
24-07-23T07:05:49,68.69
24-07-23T07:06:43,68.89
24-07-23T07:07:37,69.15
24-07-23T07:08:31,69.28
24-07-23T07:08:58,0
24-07-23T07:09:25,0
24-07-23T07:09:52,0
24-07-23T07:10:19,0
24-07-23T07:10:46,0
24-07-23T07:11:12,0
24-07-23T07:11:39,0
24-07-23T07:12:06,0
24-07-23T07:12:33,0
24-07-23T07:13:00,0
24-07-23T07:13:27,0
24-07-23T07:13:54,0
24-07-23T07:14:21,0
24-07-23T07:14:48,0
24-07-23T07:15:15,0
24-07-23T07:15:42,0
24-07-23T07:16:08,69.26
24-07-23T07:16:35,69.26
24-07-23T07:17:02,69.29
24-07-23T07:17:29,69.47
24-07-23T07:17:56,69.69
24-07-23T07:18:23,69.83
24-07-23T07:18:50,69.84
24-07-23T07:19:17,69.74
24-07-23T07:19:44,69.8
24-07-23T07:20:11,69.88
24-07-23T07:20:38,70.02
24-07-23T07:21:05,70.19
24-07-23T07:21:32,70.2
24-07-23T07:22:25,70.17
24-07-23T07:23:47,70.22
24-07-23T07:24:13,0
24-07-23T07:24:40,0
24-07-23T07:25:07,0
